,name,score,process_url
245,AMD A8-5550M,3481,https://www.solotodo.cl/notebooks?processors=116207
246,Intel Core i5-2415M,3476,https://www.solotodo.cl/notebooks?processors=123389
247,AMD A10-8780P,3458,https://www.solotodo.cl/notebooks?processors=510544
248,AMD A10-5750M,3449,https://www.solotodo.cl/notebooks?processors=115061
249,Intel Core i3-4000M,3432,https://www.solotodo.cl/notebooks?processors=122992
250,Intel Core i5-7200U,3396,https://www.solotodo.cl/notebooks?processors=545595
251,Intel Core i3-3120M,3389,https://www.solotodo.cl/notebooks?processors=122700
252,Intel Core i3-3130M,3384,https://www.solotodo.cl/notebooks?processors=122733
253,Intel Core i7-740QM,3344,https://www.solotodo.cl/notebooks?processors=126731
254,Intel Core i5-2430M,3338,https://www.solotodo.cl/notebooks?processors=123429
255,Intel Core i5-3437U,3333,https://www.solotodo.cl/notebooks?processors=123898
256,Intel Core i3-5020U,3323,https://www.solotodo.cl/notebooks?processors=123307
257,Intel Core i5-L16G7,3307,https://www.solotodo.cl/notebooks?processors=1355164
258,Intel Core i5-2520M,3283,https://www.solotodo.cl/notebooks?processors=123542
259,AMD FX 7500,3281,https://www.solotodo.cl/notebooks?processors=117622
260,Intel Core i5-6300U,3258,https://www.solotodo.cl/notebooks?processors=482109
261,Intel Pentium 4415U,3225,https://www.solotodo.cl/notebooks?processors=688709
262,Intel Core i5-2410M,3217,https://www.solotodo.cl/notebooks?processors=123370
263,Intel Core i7-2637M,3217,https://www.solotodo.cl/notebooks?processors=124975
264,Intel Core i5-4330M,3208,https://www.solotodo.cl/notebooks?processors=1413142
265,Intel Core i5-3337U,3198,https://www.solotodo.cl/notebooks?processors=123761
266,Intel Core i7-8500Y,3189,https://www.solotodo.cl/notebooks?processors=896017
267,Intel Core i3-5015U,3175,https://www.solotodo.cl/notebooks?processors=123281
268,Intel Core i5-7Y54,3174,https://www.solotodo.cl/notebooks?processors=551686
269,AMD A10-4600M,3134,https://www.solotodo.cl/notebooks?processors=114958
270,Intel Core M-5Y31,3127,https://www.solotodo.cl/notebooks?processors=126815
271,Intel Core M5-6Y57,3123,https://www.solotodo.cl/notebooks?processors=511055
272,Intel Core i7-5650U,3110,https://www.solotodo.cl/notebooks?processors=1243113
273,AMD A8-7150B,3097,https://www.solotodo.cl/notebooks?processors=116268
274,Intel Core i7-720QM,3094,https://www.solotodo.cl/notebooks?processors=126700
275,Intel Core i5-3317U,3092,https://www.solotodo.cl/notebooks?processors=123710
276,AMD A10-7300,3081,https://www.solotodo.cl/notebooks?processors=115107
277,Intel Core M3-6Y30,3059,https://www.solotodo.cl/notebooks?processors=492578
278,Intel Pentium 4405U,3057,https://www.solotodo.cl/notebooks?processors=509871
279,Intel Celeron J4125,3041,https://www.solotodo.cl/notebooks?processors=1394778
280,Intel Core i3-5010U,3033,https://www.solotodo.cl/notebooks?processors=123252
281,Intel Core M3-8100Y,3027,https://www.solotodo.cl/notebooks?processors=1251780
282,Intel Core i5-6200U,3020,https://www.solotodo.cl/notebooks?processors=124857
283,AMD Athlon Silver 3050e,3010,https://www.solotodo.cl/notebooks?processors=1379754
284,Intel Core i7-2677M,2982,https://www.solotodo.cl/notebooks?processors=125086
