id,notebook,name,score,price,diff price,ram,screen,graphic card,hard drive,link,21/10/21,25/10/21,26/10/21,28/10/21,29/10/21,02/11/21,03/11/21
105963,Lenovo IdeaPad Gaming 3 15ARH05 [82EY006YUS],AMD Ryzen 7 4800H,19411,1119990,0,8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 120 Hz","AMD Radeon RX Vega 7 (Integrada)
NVIDIA GeForce GTX 1650 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/105963-lenovo-ideapad-gaming-3-15arh05-82ey006yus,1119990,1119990,1119990,1119990,1119990,1119990,1119990
91007,Lenovo Legion 5 15ARH05H [82B1000LCL],AMD Ryzen 7 4800H,19411,1158251,-41739,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 144 Hz","AMD Radeon RX Vega 7 (Integrada)
NVIDIA GeForce RTX 2060 (6 GB)","HDD 1TB (5400rpm)
SSD 128GB",https://www.solotodo.cl/products/91007-lenovo-legion-5-15arh05h-82b1000lcl,1099990,1099990,1099990,1099990,1307822,1199990,1199990
87019,HP Omen 15-EN0023DX [2V927UA],AMD Ryzen 7 4800H,19411,1157132,-342858,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 144 Hz","AMD Radeon RX Vega 7 (Integrada)
NVIDIA GeForce GTX 1660 Ti (6 GB)",SSD 1TB,https://www.solotodo.cl/products/87019-hp-omen-15-en0023dx-2v927ua,1099990,1099990,1099990,1099990,1099990,1099990,1499990
84587,HP Pavilion Gaming 15-EC1029LA [162D9LA],AMD Ryzen 7 4800H,19411,802847,32857,12 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 60 Hz","AMD Radeon RX Vega 7 (Integrada)
NVIDIA GeForce GTX 1650 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/84587-hp-pavilion-gaming-15-ec1029la-162d9la,859990,849990,829990,769990,769990,769990,769990
91204,HP Omen 15-EN0002LA [10G91LA],AMD Ryzen 7 4800H,19411,1099990,,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 60 Hz","AMD Radeon RX Vega 7 (Integrada)
NVIDIA GeForce RTX 2060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/91204-hp-omen-15-en0002la-10g91la,,,,,1099990,,
84192,HP Pavilion Gaming 15-EC1024LA [162D5LA],AMD Ryzen 7 4800H,19411,745704,5714,8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 60 Hz","AMD Radeon RX Vega 7 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB)",SSD 512GB,https://www.solotodo.cl/products/84192-hp-pavilion-gaming-15-ec1024la-162d5la,769990,749990,739990,739990,739990,739990,739990
104858,MSI Alpha Series 17 A4DEK [A4DEK-014CL],AMD Ryzen 7 4800H,19411,1499990,0,16 GB DDR4 (2666 MHz),"LED 17.3"" (1920x1080) / 144 Hz","AMD Radeon RX Vega 7 (Integrada)
AMD Radeon RX 5600M (6 GB)",SSD 512GB,https://www.solotodo.cl/products/104858-msi-alpha-series-17-a4dek-a4dek-014cl,1499990,1499990,1499990,1499990,1499990,1499990,1499990
110417,HP Pavilion Gaming 15-EC1038LA [3Y7A5LA],AMD Ryzen 7 4800H,19411,989990,0,8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 144 Hz","AMD Radeon RX Vega 7 (Integrada)
NVIDIA GeForce GTX 1650 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/110417-hp-pavilion-gaming-15-ec1038la-3y7a5la,989990,989990,989990,989990,989990,989990,989990
117694,ASUS ROG Zephyrus G14 GA401IH-RK2041T [90NR07H2-M00600],AMD Ryzen 7 4800HS,18864,1084275,34285,16 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080) / 60 Hz","AMD Radeon RX Vega 7 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB)",SSD 512GB,https://www.solotodo.cl/products/117694-asus-rog-zephyrus-g14-ga401ih-rk2041t-90nr07h2-m00600,1099990,1099990,1119990,1119990,1049990,1049990,1049990
110263,ASUS Zenbook Pro Duo 15 UX582LR-H2021T [90NB0U51-M00350],Intel Core i9-10980HK,17288,2999990,0,32 GB DDR4 (2933 MHz),"LED 15.6"" (3840x2160) / 60 Hz","Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce RTX 3070 (8 GB)",SSD 1TB,https://www.solotodo.cl/products/110263-asus-zenbook-pro-duo-15-ux582lr-h2021t-90nb0u51-m00350,2999990,2999990,2999990,2999990,2999990,2999990,2999990
